concept_code,assessment_tool_name,assessment_description,published_value,response_description,decimal_places,collection_start_date,specification_version,source_row
1035761000000100,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 6 score - I have been given enough explanation about the help available here,3,Certainly true,0,2016-04-01,5.0,40
1035761000000100,Experience of Service Questionnaire (ESQ),Experience of Service Questionnaire (ESQ) Parent or Carer item 6 score - I have been given enough explanation about the help available here,3,Certainly true,0,2016-04-01,6.0.7.1,343
1035761000000100,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 6 score - I have been given enough explanation about the help available here,999,Don't know/Missing,0,2016-04-01,4.1,41
1035761000000100,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 6 score - I have been given enough explanation about the help available here,999,Don't know/Missing,0,2016-04-01,5.0,41
1035761000000100,Experience of Service Questionnaire (ESQ),Experience of Service Questionnaire (ESQ) Parent or Carer item 6 score - I have been given enough explanation about the help available here,999,Don't know/Missing,0,2016-04-01,6.0.7.1,344
1035771000000107,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 7 score - I feel that the people who have seen my child are working together to help with the problem(s),1,Not True,0,2016-04-01,4.1,42
1035771000000107,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 7 score - I feel that the people who have seen my child are working together to help with the problem(s),1,Not True,0,2016-04-01,5.0,42
1035771000000107,Experience of Service Questionnaire (ESQ),Experience of Service Questionnaire (ESQ) Parent or Carer item 7 score - I feel that the people who have seen my child are working together to help with the problem(s),1,Not True,0,2016-04-01,6.0.7.1,345
1035771000000107,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 7 score - I feel that the people who have seen my child are working together to help with the problem(s),2,Partly true,0,2016-04-01,4.1,43
1035771000000107,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 7 score - I feel that the people who have seen my child are working together to help with the problem(s),2,Partly true,0,2016-04-01,5.0,43
1035771000000107,Experience of Service Questionnaire (ESQ),Experience of Service Questionnaire (ESQ) Parent or Carer item 7 score - I feel that the people who have seen my child are working together to help with the problem(s),2,Partly true,0,2016-04-01,6.0.7.1,346
1035771000000107,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 7 score - I feel that the people who have seen my child are working together to help with the problem(s),3,Certainly true,0,2016-04-01,4.1,44
