occupation_code,occupation_code_name,main_staff_group,broad_staff_group,detailed_staff_group,occupation_level,care_setting_or_specialty,is_currently_valid
001,HCHS doctors in General (internal) medicine,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,General (internal) medicine,True
002,HCHS doctors in Paediatrics,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Paediatrics,True
003,HCHS doctors in Infectious diseases,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Infectious diseases,True
004,HCHS doctors in Respiratory medicine,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Respiratory medicine,True
005,HCHS doctors in Dermatology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Dermatology,True
006,HCHS doctors in Neurology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Neurology,True
007,HCHS doctors in Cardiology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Cardiology,True
008,HCHS doctors in Rheumatology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Rheumatology,True
009,HCHS doctors in Genito-urinary medicine,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Genito-urinary medicine,True
010,HCHS doctors in Clinical pharmacology and therapeutics,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Clinical pharmacology and therapeutics,True
011,HCHS doctors in Geriatric medicine,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Geriatric medicine,True
012,HCHS doctors in Medical oncology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Medical oncology,True
013,HCHS doctors in Clinical physiology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Clinical physiology,False
014,HCHS doctors in Clinical neurophysiology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Clinical neurophysiology,True
015,HCHS doctors in Renal medicine,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Renal medicine,True
016,HCHS doctors in Nuclear medicine,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Nuclear medicine,True
017,HCHS doctors in Endocrinology and diabetes mellitus,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Endocrinology and diabetes mellitus,True
018,HCHS doctors in Gastro-enterology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Gastro-enterology,True
019,HCHS doctors in Audio vestibular medicine,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Audio vestibular medicine,True
020,HCHS doctors in Clinical genetics,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Clinical genetics,True
021,HCHS doctors in General surgery,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,General surgery,True
022,HCHS doctors in Paediatric surgery,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Paediatric surgery,True
023,HCHS doctors in Otolaryngology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Otolaryngology,True
024,HCHS doctors in Trauma and orthopaedic surgery,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Trauma and orthopaedic surgery,True
025,HCHS doctors in Ophthalmology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Ophthalmology,True
026,HCHS doctors in Clinical oncology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Clinical oncology,True
027,HCHS doctors in Urology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Urology,True
028,HCHS doctors in Plastic surgery,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Plastic surgery,True
029,HCHS doctors in Cardio-thoracic surgery,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Cardio-thoracic surgery,True
030,HCHS doctors in Emergency medicine,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Emergency medicine,True
031,HCHS doctors in Neurosurgery,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Neurosurgery,True
032,HCHS doctors in Tropical medicine,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Tropical medicine,True
033,HCHS doctors in Allergy,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Allergy,True
034,HCHS doctors in Intensive care medicine,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Intensive care medicine,True
035,HCHS doctors in Acute internal medicine,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Acute internal medicine,True
036,HCHS doctors in Vascular surgery,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Vascular surgery,True
037,HCHS doctors in Aviation and space medicine,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Aviation and space medicine,True
040,HCHS doctors in Obstetrics and gynaecology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Obstetrics and gynaecology,True
041,HCHS doctors in Community sexual and reproductive health,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Community sexual and reproductive health,True
042,HCHS doctors in Family planning sessional - surgery,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Family planning sessional - surgery,False
043,HCHS doctors in Obstetrics,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Obstetrics,False
044,HCHS doctors in Gynaecology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Gynaecology,False
045,HCHS doctors in Dental and maxillo-facial radiology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Dental and maxillo-facial radiology,True
046,HCHS doctors in Oral and maxillo-facial pathology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Oral and maxillo-facial pathology,True
047,HCHS doctors in Oral microbiology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Oral microbiology,True
048,HCHS doctors in Oral medicine,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Oral medicine,True
049,HCHS doctors in Paediatric neurology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Paediatric neurology,False
051,HCHS doctors in Psychiatry of learning disability,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Psychiatry of learning disability,True
052,HCHS doctors in General psychiatry,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,General psychiatry,True
053,HCHS doctors in Child and adolescent psychiatry,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Child and adolescent psychiatry,True
054,HCHS doctors in Forensic psychiatry,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Forensic psychiatry,True
055,HCHS doctors in Medical psychotherapy,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Medical psychotherapy,True
056,HCHS doctors in Old age psychiatry,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Old age psychiatry,True
060,HCHS doctors in Surgical dentistry,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Surgical dentistry,False
061,HCHS doctors in Oral and maxillo-facial surgery,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Oral and maxillo-facial surgery,True
062,HCHS doctors in Orthodontics,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Orthodontics,True
063,HCHS doctors in Restorative dentistry,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Restorative dentistry,True
064,HCHS doctors in Paediatric dentistry,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Paediatric dentistry,True
065,HCHS doctors in Additional dental specialties,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Additional dental specialties,False
066,HCHS doctors in Oral surgery,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Oral surgery,True
067,HCHS doctors in Endodontics,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Endodontics,True
068,HCHS doctors in Periodontics,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Periodontics,True
069,HCHS doctors in Prosthodontics,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Prosthodontics,True
070,HCHS doctors in Special care dentistry,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Special care dentistry,True
071,HCHS doctors in General pathology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,General pathology,False
072,HCHS doctors in Chemical pathology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Chemical pathology,True
073,HCHS doctors in Haematology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Haematology,True
074,HCHS doctors in Histopathology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Histopathology,True
075,HCHS doctors in Medical microbiology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Medical microbiology,True
076,HCHS doctors in Neuropathology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Neuropathology,False
077,HCHS doctors in Immunology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Immunology,True
078,HCHS doctors in Medical virology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Medical virology,True
079,HCHS doctors in Clinical cytogenetics and molecular genetics,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Clinical cytogenetics and molecular genetics,False
080,HCHS doctors in Clinical radiology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Clinical radiology,True
082,HCHS doctors in General (internal) medicine (082),Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,General (internal) medicine,False
083,HCHS doctors in Immunology (with allergy),Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Immunology (with allergy),False
084,HCHS doctors in Rehabilitation medicine,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Rehabilitation medicine,True
085,HCHS doctors in Sport and exercise medicine,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Sport and exercise medicine,True
086,HCHS doctors in Diagnostic neuropathology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Diagnostic neuropathology,True
087,HCHS doctors in Paediatric and perinatal pathology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Paediatric and perinatal pathology,True
088,HCHS doctors in Forensic histopathology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Forensic histopathology,True
090,HCHS doctors in Public health medicine (090),Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Public health medicine,False
091,HCHS doctors in Anaesthetics,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Anaesthetics,True
092,HCHS doctors in Blood transfusion,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Blood transfusion,False
093,HCHS doctors in Occupational medicine,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Occupational medicine,True
094,HCHS doctors in Palliative medicine,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Palliative medicine,True
095,HCHS doctors in Intensive therapy,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Intensive therapy,False
096,HCHS doctors in Medical ophthalmology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Medical ophthalmology,True
097,HCHS doctors in Paediatric cardiology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Paediatric cardiology,True
099,HCHS doctors in Other specialties,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Other specialties,True
101,HCHS doctors in General (internal) medicine,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,General (internal) medicine,True
102,HCHS doctors in Paediatrics,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Paediatrics,True
103,HCHS doctors in Infectious diseases,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Infectious diseases,True
104,HCHS doctors in Respiratory medicine,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Respiratory medicine,True
105,HCHS doctors in Dermatology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Dermatology,True
106,HCHS doctors in Neurology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Neurology,True
107,HCHS doctors in Cardiology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Cardiology,True
108,HCHS doctors in Rheumatology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Rheumatology,True
109,HCHS doctors in Genito-urinary medicine,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Genito-urinary medicine,True
110,HCHS doctors in Clinical pharmacology and therapeutics,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Clinical pharmacology and therapeutics,True
111,HCHS doctors in Geriatric medicine,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Geriatric medicine,True
112,HCHS doctors in Medical oncology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Medical oncology,True
113,HCHS doctors in Clinical physiology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Clinical physiology,False
114,HCHS doctors in Clinical neurophysiology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Clinical neurophysiology,True
115,HCHS doctors in Renal medicine,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Renal medicine,True
116,HCHS doctors in Nuclear medicine,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Nuclear medicine,True
117,HCHS doctors in Endocrinology and diabetes mellitus,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Endocrinology and diabetes mellitus,True
118,HCHS doctors in Gastro-enterology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Gastro-enterology,True
119,HCHS doctors in Audio vestibular medicine,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Audio vestibular medicine,True
120,HCHS doctors in Clinical genetics,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Clinical genetics,True
121,HCHS doctors in General surgery,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,General surgery,True
122,HCHS doctors in Paediatric surgery,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Paediatric surgery,True
123,HCHS doctors in Otolaryngology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Otolaryngology,True
124,HCHS doctors in Trauma and orthopaedic surgery,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Trauma and orthopaedic surgery,True
125,HCHS doctors in Ophthalmology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Ophthalmology,True
126,HCHS doctors in Clinical oncology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Clinical oncology,True
127,HCHS doctors in Urology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Urology,True
128,HCHS doctors in Plastic surgery,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Plastic surgery,True
129,HCHS doctors in Cardio-thoracic surgery,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Cardio-thoracic surgery,True
130,HCHS doctors in Emergency medicine,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Emergency medicine,True
131,HCHS doctors in Neurosurgery,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Neurosurgery,True
132,HCHS doctors in Tropical medicine,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Tropical medicine,True
133,HCHS doctors in Allergy,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Allergy,True
134,HCHS doctors in Intensive care medicine,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Intensive care medicine,True
135,HCHS doctors in Acute internal medicine,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Acute internal medicine,True
136,HCHS doctors in Vascular surgery,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Vascular surgery,True
137,HCHS doctors in Aviation and space medicine,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Aviation and space medicine,True
140,HCHS doctors in Obstetrics and gynaecology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Obstetrics and gynaecology,True
141,HCHS doctors in Community sexual and reproductive health,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Community sexual and reproductive health,True
142,HCHS doctors in Family planning sessional - surgery,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Family planning sessional - surgery,False
143,HCHS doctors in Obstetrics,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Obstetrics,False
144,HCHS doctors in Gynaecology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Gynaecology,False
145,HCHS doctors in Dental and maxillo-facial radiology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Dental and maxillo-facial radiology,True
146,HCHS doctors in Oral and maxillo-facial pathology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Oral and maxillo-facial pathology,True
147,HCHS doctors in Oral microbiology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Oral microbiology,True
148,HCHS doctors in Oral medicine,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Oral medicine,True
149,HCHS doctors in Paediatric neurology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Paediatric neurology,False
151,HCHS doctors in Psychiatry of learning disability,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Psychiatry of learning disability,True
152,HCHS doctors in General psychiatry,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,General psychiatry,True
153,HCHS doctors in Child and adolescent psychiatry,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Child and adolescent psychiatry,True
154,HCHS doctors in Forensic psychiatry,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Forensic psychiatry,True
155,HCHS doctors in Medical psychotherapy,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Medical psychotherapy,True
156,HCHS doctors in Old age psychiatry,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Old age psychiatry,True
160,HCHS doctors in Surgical dentistry,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Surgical dentistry,False
161,HCHS doctors in Oral and maxillo-facial surgery,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Oral and maxillo-facial surgery,True
162,HCHS doctors in Orthodontics,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Orthodontics,True
163,HCHS doctors in Restorative dentistry,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Restorative dentistry,True
164,HCHS doctors in Paediatric dentistry,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Paediatric dentistry,True
165,HCHS doctors in Additional dental specialties,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Additional dental specialties,False
166,HCHS doctors in Oral surgery,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Oral surgery,True
167,HCHS doctors in Endodontics,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Endodontics,True
168,HCHS doctors in Periodontics,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Periodontics,True
169,HCHS doctors in Prosthodontics,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Prosthodontics,True
170,HCHS doctors in Special care dentistry,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Special care dentistry,True
171,HCHS doctors in General pathology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,General pathology,False
172,HCHS doctors in Chemical pathology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Chemical pathology,True
173,HCHS doctors in Haematology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Haematology,True
174,HCHS doctors in Histopathology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Histopathology,True
175,HCHS doctors in Medical microbiology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Medical microbiology,True
176,HCHS doctors in Neuropathology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Neuropathology,False
177,HCHS doctors in Immunology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Immunology,True
178,HCHS doctors in Medical virology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Medical virology,True
179,HCHS doctors in Clinical cytogenetics and molecular genetics,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Clinical cytogenetics and molecular genetics,False
180,HCHS doctors in Clinical radiology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Clinical radiology,True
182,HCHS doctors in General (internal) medicine (082),Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,General (internal) medicine,False
183,HCHS doctors in Immunology (with allergy),Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Immunology (with allergy),False
184,HCHS doctors in Rehabilitation medicine,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Rehabilitation medicine,True
185,HCHS doctors in Sport and exercise medicine,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Sport and exercise medicine,True
186,HCHS doctors in Diagnostic neuropathology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Diagnostic neuropathology,True
187,HCHS doctors in Paediatric and perinatal pathology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Paediatric and perinatal pathology,True
188,HCHS doctors in Forensic histopathology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Forensic histopathology,True
190,HCHS doctors in Public health medicine (090),Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Public health medicine,False
191,HCHS doctors in Anaesthetics,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Anaesthetics,True
192,HCHS doctors in Blood transfusion,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Blood transfusion,False
193,HCHS doctors in Occupational medicine,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Occupational medicine,True
194,HCHS doctors in Palliative medicine,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Palliative medicine,True
195,HCHS doctors in Intensive therapy,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Intensive therapy,False
196,HCHS doctors in Medical ophthalmology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Medical ophthalmology,True
197,HCHS doctors in Paediatric cardiology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Paediatric cardiology,True
199,HCHS doctors in Other specialties,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Other specialties,True
200,HCHS doctors in Community medicine,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Community medicine,False
201,HCHS doctors in Capital building,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Capital building,False
202,HCHS doctors in Information services,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Information services,False
203,HCHS doctors in Personnel,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Personnel,False
204,HCHS doctors in Health care planning,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Health care planning,False
205,HCHS doctors in Child care,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Child care,False
207,HCHS doctors in Environmental health,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Environmental health,False
210,HCHS doctors in Family planning,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Family planning,False
211,HCHS doctors in Family planning,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Family planning,False
220,HCHS doctors in Community health service medical,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Community health service medical,False
221,HCHS doctors in General medical practitioner,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,General medical practitioner,True
230,HCHS doctors in Public health medicine,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Public health medicine,True
240,HCHS doctors in Community dentistry admin,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Community dentistry admin,False
241,HCHS doctors in Community dentistry (clinical),Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Community dentistry (clinical),False
242,HCHS doctors in Dental health education,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Dental health education,False
244,HCHS doctors in General dental practice,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,General dental practice,False
245,HCHS doctors in Orthodontics (945),Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Orthodontics,False
246,HCHS doctors in Restorative dentistry (946),Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Restorative dentistry,False
260,HCHS doctors in School health,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,School health,False
261,HCHS doctors in School health,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,School health,False
265,HCHS doctors in Other medical,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Other medical,False
266,HCHS doctors in Other dental,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Other dental,False
270,HCHS doctors in Community health service dental,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Community health service dental,False
271,HCHS doctors in General dental practitioner,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,General dental practitioner,True
280,HCHS doctors in Dental public health,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Dental public health,True
800,HCHS doctors in General practice (GP) 6 month training,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,General practice (GP) 6 month training,True
900,HCHS doctors in Community medicine,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Community medicine,False
901,HCHS doctors in Capital building,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Capital building,False
902,HCHS doctors in Information services,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Information services,False
903,HCHS doctors in Personnel,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Personnel,False
