snomed_code,snomed_term,status,category
191849000,"Hallucinogen dependence, continuous (disorder)",QUALIFYING,Current misuse or dependence
191850000,"Hallucinogen dependence, episodic (disorder)",QUALIFYING,Current misuse or dependence
32009006,Hallucinogen hallucinosis (disorder),QUALIFYING,Current misuse or dependence
50320000,Hallucinogen intoxication (disorder),QUALIFYING,Current misuse or dependence
40571009,Hallucinogen intoxication delirium (disorder),QUALIFYING,Current misuse or dependence
1383008,Hallucinogen mood disorder (disorder),QUALIFYING,Current misuse or dependence
15277004,Hallucinogen-induced anxiety disorder (disorder),QUALIFYING,Current misuse or dependence
785277001,Harmful pattern of use of amfetamine and/or amfetamine derivative (disorder),QUALIFYING,Current misuse or dependence
78267003,Harmful pattern of use of cocaine (disorder),QUALIFYING,Current misuse or dependence
74851005,Harmful pattern of use of hallucinogen (disorder),QUALIFYING,Current misuse or dependence
145101000119102,Harmful pattern of use of intravenous cocaine (disorder),QUALIFYING,Current misuse or dependence
699449003,Harmful pattern of use of metamfetamine (disorder),QUALIFYING,Current misuse or dependence
91388009,Harmful pattern of use of psychoactive substance (disorder),QUALIFYING,Current misuse or dependence
441527004,Harmful pattern of use of stimulant (disorder),QUALIFYING,Current misuse or dependence
737336003,Harmful pattern of use of synthetic cannabinoid (disorder),QUALIFYING,Current misuse or dependence
762504005,Harmful pattern of use of synthetic cathinone (disorder),QUALIFYING,Current misuse or dependence
724712001,Harmful use of dissociative drug (disorder),QUALIFYING,Current misuse or dependence
228427002,Has a routine of drug-related activities (finding),QUALIFYING,Current misuse or dependence
383871000000108,Health problem secondary to drug misuse (finding),QUALIFYING,Current misuse or dependence
202991000000100,Heroin misuse (finding),QUALIFYING,Current misuse or dependence
295174006,Heroin overdose (disorder),QUALIFYING,Current misuse or dependence
295176008,Heroin overdose of undetermined intent (disorder),QUALIFYING,Current misuse or dependence
724656006,Hypnotic dependence (disorder),QUALIFYING,Current misuse or dependence
724658007,Hypnotic dependence with current use (disorder),QUALIFYING,Current misuse or dependence
1231162009,"Hypnotic dependence, continuous (disorder)",QUALIFYING,Current misuse or dependence
1231160001,"Hypnotic dependence, episodic (disorder)",QUALIFYING,Current misuse or dependence
268640002,Hypnotic or anxiolytic dependence (disorder),QUALIFYING,Current misuse or dependence
191825003,"Hypnotic or anxiolytic dependence, continuous (disorder)",QUALIFYING,Current misuse or dependence
191826002,"Hypnotic or anxiolytic dependence, episodic (disorder)",QUALIFYING,Current misuse or dependence
741063003,Illicit drug injection in last 12 months (finding),QUALIFYING,Current misuse or dependence
307052004,Illicit drug use (finding),QUALIFYING,Current misuse or dependence
788955005,Impulse control disorder caused by cocaine (disorder),QUALIFYING,Current misuse or dependence
788956006,Impulse control disorder caused by psychoactive substance (disorder),QUALIFYING,Current misuse or dependence
788957002,Impulse control disorder caused by stimulant (disorder),QUALIFYING,Current misuse or dependence
788958007,Impulse control disorder caused by synthetic cathinone (disorder),QUALIFYING,Current misuse or dependence
18689007,Inhalant intoxication delirium (disorder),QUALIFYING,Current misuse or dependence
20876004,Inhalant-induced anxiety disorder (disorder),QUALIFYING,Current misuse or dependence
89451009,Inhalant-induced mood disorder (disorder),QUALIFYING,Current misuse or dependence
61104008,Inhalant-induced organic mental disorder (disorder),QUALIFYING,Current misuse or dependence
32875003,Inhalant-induced persisting dementia (disorder),QUALIFYING,Current misuse or dependence
75122001,Inhalant-induced psychotic disorder with delusions (disorder),QUALIFYING,Current misuse or dependence
63983005,Inhalant-induced psychotic disorder with hallucinations (disorder),QUALIFYING,Current misuse or dependence
228376009,Inhales drugs (finding),QUALIFYING,Current misuse or dependence
226034001,Injecting drug user (finding),QUALIFYING,Current misuse or dependence
228387001,Injects drugs intramuscularly (finding),QUALIFYING,Current misuse or dependence
228386005,Injects drugs subcutaneously (finding),QUALIFYING,Current misuse or dependence
296303002,Intentional cannabis overdose (disorder),QUALIFYING,Current misuse or dependence
240061000000104,Intentional drug overdose by drug paraphernalia (disorder),QUALIFYING,Current misuse or dependence
295568001,Intentional local cocaine overdose (disorder),QUALIFYING,Current misuse or dependence
296315003,Intentional mescaline overdose (disorder),QUALIFYING,Current misuse or dependence
296323001,Intentional overdose by cocaine (disorder),QUALIFYING,Current misuse or dependence
296327000,Intentional overdose by crack cocaine (disorder),QUALIFYING,Current misuse or dependence
296307001,Intentional overdose by lysergic acid (disorder),QUALIFYING,Current misuse or dependence
1149241001,Intentional overdose by lysergic acid diethylamide (disorder),QUALIFYING,Current misuse or dependence
296319009,Intentional overdose of ecstasy (disorder),QUALIFYING,Current misuse or dependence
838521001,Intentional overdose of methylenedioxymethamphetamine (disorder),QUALIFYING,Current misuse or dependence
1155772001,Intoxication caused by central stimulant (disorder),QUALIFYING,Current misuse or dependence
762671008,Intoxication caused by synthetic cathinone (disorder),QUALIFYING,Current misuse or dependence
228388006,Intravenous drug user (finding),QUALIFYING,Current misuse or dependence
