concept_code,assessment_tool_name,assessment_description,published_value,response_description,decimal_places,collection_start_date,specification_version,source_row,is_non_score_response
761051000000105,iMTA Productivity Cost Questionnaire (iPCQ),iPCQ (Institute for Medical Technology Assessment Productivity Cost Questionnaire) - question 9 score,0-10,,0,2020-09-01,2.0.26,36,false
761051000000105,iMTA Productivity Cost Questionnaire (iPCQ),iPCQ (Institute for Medical Technology Assessment Productivity Cost Questionnaire) - question 9 score,0-10,,0,2020-09-01,2.1.22,38,false
904691000000103,IAPT Assessment Patient Experience Questionnaire,IAPT (Improving Access to Psychological Therapies) assessment PEQ (Patient Experience Questionnaire) choice question 4 score,N,No,0,2014-07-01,2.0.26,29,false
904691000000103,IAPT Assessment Patient Experience Questionnaire,IAPT (Improving Access to Psychological Therapies) assessment PEQ (Patient Experience Questionnaire) choice question 4 score,NA,Not Applicable,0,2014-07-01,2.0.26,31,true
904691000000103,IAPT Assessment Patient Experience Questionnaire,IAPT (Improving Access to Psychological Therapies) assessment PEQ (Patient Experience Questionnaire) choice question 4 score,Y,Yes,0,2014-07-01,2.0.26,30,false
904691000000103,IAPT Assessment Patient Experience Questionnaire,IAPT (Improving Access to Psychological Therapies) assessment PEQ (Patient Experience Questionnaire) choice question 4 score,N,No,0,2014-07-01,2.1.22,31,false
904691000000103,IAPT Assessment Patient Experience Questionnaire,IAPT (Improving Access to Psychological Therapies) assessment PEQ (Patient Experience Questionnaire) choice question 4 score,NA,Not Applicable,0,2014-07-01,2.1.22,33,true
904691000000103,IAPT Assessment Patient Experience Questionnaire,IAPT (Improving Access to Psychological Therapies) assessment PEQ (Patient Experience Questionnaire) choice question 4 score,Y,Yes,0,2014-07-01,2.1.22,32,false
910931000000101,Diabetes Distress Scale (DDS),Diabetes Distress Scale 17 item score,17-102,,0,2017-03-01,2.0.26,13,false
910931000000101,Diabetes Distress Scale (DDS),Diabetes Distress Scale 17 item score,1-6,,1,2017-03-01,2.1.22,14,false
932581000000100,Work And Social Adjustment Scale,Improving Access to Psychological Therapies programme Work and Social Adjustment Scale - home management score,0-8,,0,2014-07-01,2.0.26,48,false
932581000000100,Work And Social Adjustment Scale,Improving Access to Psychological Therapies programme Work and Social Adjustment Scale - home management score,0-8,,0,2014-07-01,2.1.22,50,false
932591000000103,Work And Social Adjustment Scale,Improving Access to Psychological Therapies programme Work and Social Adjustment Scale - private leisure activities score,0-8,,0,2014-07-01,2.0.26,50,false
932591000000103,Work And Social Adjustment Scale,Improving Access to Psychological Therapies programme Work and Social Adjustment Scale - private leisure activities score,0-8,,0,2014-07-01,2.1.22,52,false
932601000000109,Work And Social Adjustment Scale,Improving Access to Psychological Therapies programme Work and Social Adjustment Scale - relationships score,0-8,,0,2014-07-01,2.0.26,51,false
932601000000109,Work And Social Adjustment Scale,Improving Access to Psychological Therapies programme Work and Social Adjustment Scale - relationships score,0-8,,0,2014-07-01,2.1.22,53,false
932611000000106,Work And Social Adjustment Scale,Improving Access to Psychological Therapies programme Work and Social Adjustment Scale - social leisure activities score,0-8,,0,2014-07-01,2.0.26,49,false
932611000000106,Work And Social Adjustment Scale,Improving Access to Psychological Therapies programme Work and Social Adjustment Scale - social leisure activities score,0-8,,0,2014-07-01,2.1.22,51,false
932621000000100,Work And Social Adjustment Scale,Improving Access to Psychological Therapies programme Work and Social Adjustment Scale - work score,0-9,,0,2014-07-01,2.0.26,47,false
932621000000100,Work And Social Adjustment Scale,Improving Access to Psychological Therapies programme Work and Social Adjustment Scale - work score,9,Score not available,0,2014-07-01,2.0.26,47,true
932621000000100,Work And Social Adjustment Scale,Improving Access to Psychological Therapies programme Work and Social Adjustment Scale - work score,0-9,,0,2014-07-01,2.1.22,49,false
932621000000100,Work And Social Adjustment Scale,Improving Access to Psychological Therapies programme Work and Social Adjustment Scale - work score,9,Score not available,0,2014-07-01,2.1.22,49,true
