snomed_code,description
16360009,Delta beta thalassaemia
16376000,Congenital duodenal stenosis
16507009,Ectopic kidney
16567006,Mesocardia
16573007,Senile cardiac amyloidosis
16576004,Shy-Drager syndrome
16652001,Fabry's disease
16741004,Pleomorphic carcinoma
16784003,Amino acid transport disorder
16797001,Accelerated atrioventricular conduction
16851005,Mitochondrial myopathy
16893006,"Hodgkin lymphoma, lymphocyte depletion, diffuse fibrosis"
16972009,Congenital aneurysm of aorta
17024001,Aortopulmonary window
17025000,Vascular Ehlers-Danlos syndrome
17122004,4p partial monosomy syndrome
17128000,Congenital eventration of diaphragm
17144009,Fibrochondrogenesis
17182001,Agranulocytosis
17190001,Congenital diaphragmatic hernia
17234001,Allantoic cyst
17264009,Carcinoma ex pleomorphic adenoma
17302008,Cerebellar sarcoma
17338001,Ventricular premature beats
17450006,Myoclonus
17602002,Amyloidosis
17718000,Ostium primum defect
17788007,"Acute myeloid leukaemia, no ICD-O subtype"
17808001,Azygos lobe of lung
17818006,Leri-Weill dyschondrosteosis
17869006,Anomalous atrioventricular excitation
17890003,Hepatic infarction
17901006,Primary hyperoxaluria
17940001,Toxic neuromuscular junction disorder
17944005,Cerebral calcification
18021007,Choroid plexus papilloma
18048008,"Squamous cell carcinoma, keratinising"
18077009,Trichorhinophalangeal syndrome
18105004,"Endometrioid adenofibroma, malignant"
18273004,Unstable haemoglobin disease
18348002,Queyrat's erythroplasia
18365006,Adrenal cortical adenoma morphology
18389004,Microcolon
18546004,Congenital stenosis of aortic valve
18588008,"Synovial sarcoma, biphasic"
18604004,Factor XIII deficiency disease
18620009,Congenital sequestration of lung
18680006,Intraductal carcinoma and lobular carcinoma in situ
18735004,Congenital omphalocele
18799007,Invasive hydatidiform mole
18842008,Corticobasal degeneration
18854008,"Struma ovarii, malignant"
18861007,"Granulosa cell tumour, malignant"
18977007,"Adrenal cortical adenoma, clear cell"
19042000,Congenital prolapse of urethra
19071004,Epithelioid leiomyoma
19092004,Holt-Oram syndrome
19134004,Fascial fibrosarcoma
19276002,Congenital cerebral cyst
19303008,Alcohol myopathy
19329008,"Adrenal cortical adenoma, glomerulosa cell"
19340000,"Malignant lymphoma, lymphoplasmacytic"
19346006,Marfan's syndrome
19373007,External ophthalmoplegia
19387007,Ectopic pancreas
19410003,Macrocephaly
19442009,Heterozygous thalassaemia
19453003,Benign meningioma
19467007,"Teratoma, malignant"
19557000,Hyperexplexia
19598007,Generalised epilepsy
19756007,"Gastrinoma, malignant"
19829001,Disorder of lung
19906005,Retinoblastoma
19929002,Angiomyolipoma
19943007,Cirrhosis of liver
20018005,Occlusion of ureter
20022000,Hemiparesis
20052008,Hereditary fructosuria
20059004,Cerebral artery occlusion
20143001,Bilateral bundle branch block
20165001,Hyperphosphataemia
20322005,Chronic respiratory disease in perinatal period
20365006,"Squamous intraepithelial neoplasia, high grade"
20380000,Ameloblastic odontosarcoma
20415001,Progressive sclerosing poliodystrophy
20462008,Ameloblastoma
20667008,Myosarcoma
20721001,Tricuspid valve disorder
20766005,"Ehlers-Danlos syndrome, type 2"
20776008,Adenolymphoma
20810002,Myelolipoma
20815007,Exstrophy of cloaca sequence
20829008,Endometrioid adenofibroma
20852007,Romano-Ward syndrome
20955008,"Insulinoma, malignant"
20957000,Disorder of carbohydrate metabolism
20980008,Progressive infantile idiopathic scoliosis
21008007,Cystadenocarcinoma
21086008,Cockayne syndrome
21109002,Acidophil adenoma
21111006,Complete trisomy 13 syndrome
21181001,"Thymoma, benign"
21326004,Combined small cell carcinoma
21396005,Pleomorphic lipoma
21454007,Subarachnoid haemorrhage
21589007,"Ependymoma, anaplastic"
21634003,Borjeson-Forssman-Lehmann syndrome
21708004,Osteosarcoma
21912003,"Malignant teratoma, intermediate"
21930005,Trabecular adenoma
21964009,Malignant lymphoma
21981000,Single coronary artery
22006008,Hypertelorism
22024005,Lipoadenoma
22053006,Klinefelter syndrome
22066006,Strabismus
22116003,Papillary serous cystadenoma
22197008,Burkitt cell leukaemia
22199006,Nail-patella syndrome
22217002,Mixed glioma
22331004,Acute monocytic leukaemia
22395006,Oesophageal body web
22421007,Congenital absence of bladder
22451001,Primary torsion dystonia
22567005,Pseudoachondroplastic spondyloepiphyseal dysplasia syndrome
22687000,Large cell carcinoma
22694002,Adenocarcinoma with apocrine metaplasia
22764001,Metatropic dysplasia
22830006,Juvenile nephropathic cystinosis
22886006,"Glutaric aciduria, type 2"
23024003,Macrogyria
23109009,Pseudosarcomatous carcinoma
23132008,AL amyloidosis
23238000,Common variable agammaglobulinaemia
23255001,"Cementoblastoma, benign"
23402009,Congenital stricture of ureterovesical orifice
23444003,Mixed acidophil-basophil carcinoma
23501004,Arginase deficiency
23730008,Papilloma (except papilloma of bladder M-81201)
23732000,Primary cerebellar degeneration
23849003,Sandhoff disease
23853001,Disorder of the central nervous system
23939000,Imperfect fusion of skull
24007003,Clear cell sarcoma of kidney
24013007,Hyperleucinaemia
24045002,Intramuscular lipoma
24072005,Acute leukaemia
24327009,Struma ovarii
24369008,Pulmonary sarcoidosis
24482001,Atypical adenoma
24505004,"Carcinoma, diffuse type"
24604009,Medullomyoblastoma
24700007,Multiple sclerosis
24743004,Complement deficiency disease
24750000,Townes syndrome
24752008,Infantile cortical hyperostosis
24814002,Potter's facies
24815001,Sertoli cell tumour with lipid storage
24867002,Severe adrenal insufficiency
24897005,Congenital postural lordosis
25042006,Tracheostomy sepsis
25044007,Neuromyelitis optica
